Depth	Density
1.45	278.4237747
1.65	244.0772524
2.2	303.084502
2.75	331.4540814
3.3	373.3672759
3.85	394.9215158
4.4	392.7308973
4.95	404.3657317
5.5	449.5170895
6.05	432.7956168
6.6	422.1037652
7.15	445.7160824
7.7	472.7070726
8.25	475.0107133
8.8	464.8746942
9.35	493.439839
9.9	481.7680594
10.45	508.1831395
11	501.1570353
11.55	511.1778724
12.1	507.4152593
12.65	520.7763754
13.2	520.227993
13.75	523.8438191
14.3	534.6366136
14.85	540.5509607
15.4	567.5768474
15.95	552.5282231
16.5	556.9051404
17.05	568.730496
17.6	572.1859571
18.15	569.6519523
18.7	581.9764301
19.25	585.7390432
19.8	576.8700265
20.35	575.9101762
20.9	584.932769
21.45	602.7091964
22	600.1367976
22.55	598.140309
23.1	607.930782
23.65	608.8906323
24.2	617.0301628
24.75	612.1925173
25.3	628.7403364
25.85	622.4053244
26.4	621.7526262
26.95	631.4663112
27.5	635.3057124
28.05	650.509741
28.6	632.5797376
29.15	643.867577
29.7	660.0376845
